Latitude,ZipCode,City,Longitude,County,State,ZipCodeClass
18.3223,00805,ST THOMAS,-64.9637,SAINT THOMAS,VI,STANDARD
17.7342,00820,CHRISTIANSTED,-64.7347,SAINT CROIX,VI,STANDARD
17.7342,00821,CHRISTIANSTED,-64.7347,SAINT CROIX,VI,STANDARD
17.7342,00822,CHRISTIANSTED,-64.7347,SAINT CROIX,VI,STANDARD
17.7342,00823,CHRISTIANSTED,-64.7347,SAINT CROIX,VI,STANDARD
17.7342,00824,CHRISTIANSTED,-64.7347,SAINT CROIX,VI,STANDARD
18.3282,00830,ST JOHN,-64.7407,SAINT JOHN,VI,STANDARD
18.3282,00831,ST JOHN,-64.7407,SAINT JOHN,VI,STANDARD
17.7342,00840,FREDERIKSTED,-64.7347,SAINT CROIX,VI,STANDARD
17.7342,00841,FREDERIKSTED,-64.7347,SAINT CROIX,VI,STANDARD
17.7342,00850,KINGSHILL,-64.7347,SAINT CROIX,VI,STANDARD
17.7342,00851,KINGSHILL,-64.7347,SAINT CROIX,VI,STANDARD
18.4659,00901,SAN JUAN,-66.1036,SAN JUAN,PR,STANDARD
18.4105,00902,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00906,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4516,00907,SAN JUAN,-66.0770,SAN JUAN,PR,STANDARD
18.4105,00908,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4434,00909,SAN JUAN,-66.0681,SAN JUAN,PR,STANDARD
18.4105,00910,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4508,00911,SAN JUAN,-66.0579,SAN JUAN,PR,STANDARD
18.4442,00912,SAN JUAN,-66.0599,SAN JUAN,PR,STANDARD
18.4507,00913,SAN JUAN,-66.0434,SAN JUAN,PR,STANDARD
18.4105,00914,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4379,00915,SAN JUAN,-66.0481,SAN JUAN,PR,STANDARD
18.4105,00916,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4220,00917,SAN JUAN,-66.0506,SAN JUAN,PR,STANDARD
18.4191,00918,SAN JUAN,-66.0623,SAN JUAN,PR,STANDARD
18.4105,00919,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4068,00920,SAN JUAN,-66.0919,SAN JUAN,PR,STANDARD
18.3904,00921,SAN JUAN,-66.0661,SAN JUAN,PR,STANDARD
18.4105,00922,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4108,00923,SAN JUAN,-66.0367,SAN JUAN,PR,STANDARD
18.3964,00924,SAN JUAN,-66.0115,SAN JUAN,PR,STANDARD
18.4011,00925,SAN JUAN,-66.0498,SAN JUAN,PR,STANDARD
18.3694,00926,SAN JUAN,-66.0628,SAN JUAN,PR,STANDARD
18.3852,00927,SAN JUAN,-66.0720,SAN JUAN,PR,STANDARD
18.4105,00928,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00929,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00930,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00931,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00933,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.3449,00934,FORT BUCHANAN,-66.1660,BAYAMON,PR,STANDARD
18.4105,00935,SAN JUAN,-66.0605,SAN JUAN,PR,UNIQUE
18.4105,00936,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00937,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00938,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00939,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00940,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.4319,00949,TOA BAJA,-66.1997,TOA BAJA,PR,STANDARD
18.4578,00950,TOA BAJA,-66.1965,TOA BAJA,PR,STANDARD
18.4578,00951,TOA BAJA,-66.1965,TOA BAJA,PR,STANDARD
18.4578,00952,SABANA SECA,-66.1965,TOA BAJA,PR,STANDARD
18.3568,00953,TOA ALTA,-66.2570,TOA ALTA,PR,STANDARD
18.3589,00954,TOA ALTA,-66.2581,TOA ALTA,PR,STANDARD
18.4105,00955,SAN JUAN,-66.0605,SAN JUAN,PR,STANDARD
18.3267,00956,BAYAMON,-66.1742,BAYAMON,PR,STANDARD
18.3666,00957,BAYAMON,-66.1839,BAYAMON,PR,STANDARD
18.3449,00958,BAYAMON,-66.1660,BAYAMON,PR,STANDARD
18.3871,00959,BAYAMON,-66.1590,BAYAMON,PR,STANDARD
18.3449,00960,BAYAMON,-66.1660,BAYAMON,PR,STANDARD
18.4132,00961,BAYAMON,-66.1687,BAYAMON,PR,STANDARD
18.4376,00962,CATANO,-66.1404,CATANO,PR,STANDARD
18.4432,00963,CATANO,-66.1393,CATANO,PR,STANDARD
18.4288,00965,GUAYNABO,-66.1154,GUAYNABO,PR,STANDARD
18.3968,00966,GUAYNABO,-66.1149,GUAYNABO,PR,STANDARD
18.4105,00968,GUAYNABO,-66.0605,SAN JUAN,PR,STANDARD
18.3623,00969,GUAYNABO,-66.1137,GUAYNABO,PR,STANDARD
18.3591,00970,GUAYNABO,-66.1123,GUAYNABO,PR,STANDARD
18.3094,00971,GUAYNABO,-66.1136,GUAYNABO,PR,STANDARD
18.4105,00975,SAN JUAN,-66.0605,SAN JUAN,PR,UNIQUE
18.3381,00976,TRUJILLO ALTO,-65.9892,TRUJILLO ALTO,PR,STANDARD
18.3370,00977,TRUJILLO ALTO,-65.9901,TRUJILLO ALTO,PR,STANDARD
18.3370,00978,SAINT JUST CONTRACT,-65.9901,TRUJILLO ALTO,PR,STANDARD
18.4105,00979,CAROLINA,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00981,CAROLINA,-66.0605,SAN JUAN,PR,STANDARD
18.4105,00982,CAROLINA,-66.0605,SAN JUAN,PR,STANDARD
18.4135,00983,CAROLINA,-65.9777,CAROLINA,PR,STANDARD
18.3934,00984,CAROLINA,-65.9725,CAROLINA,PR,STANDARD
18.3457,00985,CAROLINA,-65.9389,CAROLINA,PR,STANDARD
18.3934,00986,CAROLINA,-65.9725,CAROLINA,PR,STANDARD
18.3735,00987,CAROLINA,-65.9599,CAROLINA,PR,STANDARD
18.3934,00988,CAROLINA,-65.9725,CAROLINA,PR,STANDARD
42.1405,01001,AGAWAM,-72.7887,HAMPDEN,MA,STANDARD
42.3671,01002,AMHERST,-72.4646,HAMPSHIRE,MA,STANDARD
42.3696,01003,AMHERST,-72.6360,HAMPSHIRE,MA,STANDARD
42.3845,01004,AMHERST,-72.5132,HAMPSHIRE,MA,STANDARD
42.3292,01005,BARRE,-72.1395,WORCESTER,MA,STANDARD
42.2803,01007,BELCHERTOWN,-72.4021,HAMPSHIRE,MA,STANDARD
42.1778,01008,BLANDFORD,-72.9584,HAMPDEN,MA,STANDARD
42.2061,01009,BONDSVILLE,-72.3405,HAMPDEN,MA,PO BOX ONLY
42.1086,01010,BRIMFIELD,-72.2045,HAMPDEN,MA,STANDARD
42.2943,01011,CHESTER,-72.9528,HAMPDEN,MA,STANDARD
42.3923,01012,CHESTERFIELD,-72.8256,HAMPSHIRE,MA,STANDARD
42.1615,01013,CHICOPEE,-72.6673,HAMPDEN,MA,STANDARD
42.1707,01014,CHICOPEE,-72.6048,HAMPDEN,MA,STANDARD
42.1775,01020,CHICOPEE,-72.5626,HAMPDEN,MA,STANDARD
42.1707,01021,CHICOPEE,-72.6048,HAMPDEN,MA,STANDARD
42.1934,01022,CHICOPEE,-72.5544,HAMPDEN,MA,STANDARD
42.4286,01026,CUMMINGTON,-72.9098,HAMPSHIRE,MA,STANDARD
42.3683,01027,EASTHAMPTON,-72.7688,HAMPSHIRE,MA,STANDARD
42.0620,01028,EAST LONGMEADOW,-72.4987,HAMPDEN,MA,STANDARD
42.1909,01029,EAST OTIS,-73.0517,BERKSHIRE,MA,PO BOX ONLY
42.1893,01030,FEEDING HILLS,-72.7977,HAMPDEN,MA,STANDARD
42.3526,01031,GILBERTVILLE,-72.2057,WORCESTER,MA,STANDARD
42.4438,01032,GOSHEN,-72.8194,HAMPSHIRE,MA,STANDARD
42.2623,01033,GRANBY,-72.5041,HAMPSHIRE,MA,STANDARD
42.1127,01034,GRANVILLE,-72.9520,HAMPDEN,MA,STANDARD
42.3568,01035,HADLEY,-72.5766,HAMPSHIRE,MA,STANDARD
42.0676,01036,HAMPDEN,-72.4175,HAMPDEN,MA,STANDARD
42.3479,01037,HARDWICK,-72.2253,WORCESTER,MA,PO BOX ONLY
42.3873,01038,HATFIELD,-72.6431,HAMPSHIRE,MA,STANDARD
42.3564,01039,HAYDENVILLE,-72.6821,HAMPSHIRE,MA,STANDARD
42.1983,01040,HOLYOKE,-72.6421,HAMPDEN,MA,STANDARD
42.1707,01041,HOLYOKE,-72.6048,HAMPDEN,MA,STANDARD
42.3134,01050,HUNTINGTON,-72.9037,HAMPSHIRE,MA,STANDARD
42.3538,01053,LEEDS,-72.7044,HAMPSHIRE,MA,STANDARD
